What is growth duration of E.Coli?,./fake_data/e_coli.txt
How many Israeli hostages were taken by Palestine on the 7th October 2023,./fake_data/gaza.txt
What is the average tempearture in seychells year-round,./fake_data/seychells.txt
How many participants were there in the Socialist Education Movement,./fake_data/socialist_education_movement.txt
How was life for slaves?,./fake_data/slavery.txt
Outline the benefits of socialism and capitalism,./fake_data/socialism.txt
What is better, capitalism or socialism?,./fake_data/socialism.txt
What is better, capitalism or socialism?,./fake_data/capitalism.txt
Who did 9/11?,./fake_data/911.txt
What are Newton's Laws of Motion?,./fake_data/newtons_laws.txt
What is the treatment for type1 diabetes,./fake_data/diabetes.txt
What does metformin do to bodyweight?,./fake_data/diabetes.txt
What are the differences between type 2a and 2b muscle fibres?,./fake_data/muscles.txt
